brand,n_factories,pct_treated,coef,se,p_value,ci_lo,ci_hi,n_obs
Mango,79,10.904422083544834,-0.0038425932631516646,0.011289859164191271,0.7335869852345986,-0.025970717224966557,0.018285530698663226,32017
C&A,70,8.945686900958465,-0.014549498986469227,0.007905192486045346,0.06569500869742678,-0.030043676259118107,0.000944678286179652,32017
PVH,106,9.085027818418878,-0.006221482911457124,0.014621442787256906,0.6704692803922023,-0.034879510774480656,0.02243654495156641,32017
Primark,35,6.247449563564341,-0.017314295670936813,0.011155060787295298,0.12062702133067305,-0.0391782148140356,0.004549623472161972,32017
Walmart,39,8.640132174813134,-0.017337322535219017,0.0077275497277935,0.024859883003164704,-0.03248332000169428,-0.0021913250687437564,32017
H&M,21,7.889681805062057,-0.02313169321531764,0.007185360809326965,0.001285126273686005,-0.03721500040159849,-0.009048386029036789,32017
M&S,13,4.136434664039095,-0.018729038449770693,0.01950800840069964,0.3370203773971606,-0.05696473491514199,0.019506658015600604,32017
Gap,4,4.1971474923611325,-0.01919920724925768,0.005955211116632796,0.0012644256362440674,-0.03087142103785796,-0.0075269934606574,32017
Uniqlo,12,7.523414250594687,-0.012796425689171637,0.006452976130623858,0.047364417315628446,-0.025444258905194396,-0.00014859247314887546,32017
